id,ACTIONS_CRM_CONTACTS_sum,ACTIONS_CRM_COMPANIES_sum,ACTIONS_CRM_DEALS_sum,ACTIONS_EMAIL_sum,USERS_CRM_CONTACTS_sum,USERS_CRM_COMPANIES_sum,USERS_CRM_DEALS_sum,USERS_EMAIL_sum,WHEN_TIMESTAMP_nunique,WHEN_TIMESTAMP_min,WHEN_TIMESTAMP_max,activity_span_days,recency_days,total_actions,ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,is_customer
1,14845,1889,5253,70,349,225,266,20,70,2019-01-07,2020-07-27,567,0,22057,2610402.0,2 to 5,RENEWABLES_ENVIRONMENT,1
2,4970,798,790,247,141,63,74,35,73,2019-01-07,2020-07-27,567,0,6805,5516811.0,2 to 5,SaaS,1
3,43467,8219,18797,498,1227,787,737,108,74,2019-01-07,2020-07-27,567,0,70981,7826.0,26 to 50,E_LEARNING,1
4,54329,77,867,0,576,35,192,0,72,2019-01-07,2020-07-20,560,7,55273,16000001.0,2 to 5,,1
5,5172,1450,3551,70,385,176,296,27,72,2019-01-07,2020-07-27,567,0,10243,16000001.0,6 to 10,,1
6,4139,0,140,0,84,0,15,0,19,2020-03-23,2020-07-27,126,0,4279,16000001.0,6 to 10,INSURANCE,1
7,3005,869,1048,0,160,90,121,0,66,2019-01-28,2020-07-06,525,21,4922,16000001.0,26 to 50,"Computers, Networking, Software, Technol",1
8,745,517,1776,1,51,42,82,1,12,2020-04-20,2020-07-27,98,0,3039,3317099.0,11 to 25,LEISURE_TRAVEL_TOURISM,1
9,631,98,299,31,50,27,36,12,28,2019-11-25,2020-07-27,245,0,1059,729606.0,6 to 10,COMPUTER_SOFTWARE,1
10,10,0,0,0,5,0,0,0,11,2019-08-12,2019-12-09,119,231,10,302735.0,201 to 1000,Consulting/Advisory,1
11,0,0,0,0,0,0,0,0,8,2020-02-24,2020-07-20,147,7,0,8095413.0,6 to 10,,1
12,77,7,12,0,6,1,3,0,7,2020-05-25,2020-07-20,56,7,96,1971714.0,6 to 10,COMPUTER_SOFTWARE,1
13,14859,29964,3647,0,293,388,345,0,45,2019-07-08,2020-07-27,385,0,48470,63461.0,51 to 200,MARKETING_AND_ADVERTISING,1
14,1232,4,225,0,27,1,13,0,5,2020-06-29,2020-07-27,28,0,1461,16000001.0,11 to 25,,1
15,4400,2502,925,114,283,221,150,20,62,2019-03-18,2020-07-27,497,0,7941,10494768.0,6 to 10,INFORMATION_TECHNOLOGY_AND_SERVICES,1
16,0,0,0,0,0,0,0,0,6,2019-11-25,2020-03-09,105,140,0,16000001.0,,,1
17,5777,2929,4653,0,255,221,297,0,66,2019-01-21,2020-07-27,553,0,13359,690666.0,6 to 10,,1
18,260,283,142,6,26,15,14,4,10,2020-04-20,2020-07-20,91,7,691,8808761.0,6 to 10,,1
19,62557,1,96,193,1791,1,20,72,71,2019-01-07,2020-07-27,567,0,62847,4399993.0,51 to 200,,1
20,224,94,12,0,31,18,4,0,52,2019-01-07,2020-07-13,553,14,330,10390859.0,2 to 5,,1
21,154,1,7,21,42,1,2,12,34,2019-09-23,2020-07-20,301,7,183,3906451.0,6 to 10,REAL_ESTATE,1
22,112,0,24,1,11,0,8,1,28,2019-08-19,2020-07-27,343,0,137,3337894.0,26 to 50,WINE_AND_SPIRITS,1
23,163,140,87,5,9,5,5,4,11,2020-03-23,2020-07-27,126,0,395,7315915.0,2 to 5,,1
24,995,421,811,25,77,34,47,8,42,2019-08-26,2020-07-27,336,0,2252,1099982.0,6 to 10,,1
25,934,158,1292,19,103,45,109,4,73,2019-01-07,2020-07-27,567,0,2403,16000001.0,11 to 25,,1
26,981,402,294,0,23,23,20,0,70,2019-01-07,2020-07-13,553,14,1677,235658.0,11 to 25,,1
27,1084,2757,236,65,39,49,33,16,18,2020-03-09,2020-07-27,140,0,4142,483736.0,6 to 10,,1
28,1000,4,540,0,78,3,86,0,67,2019-01-14,2020-07-27,560,0,1544,478230.0,2 to 5,,1
29,8135,535,10636,657,257,17,253,85,41,2019-08-05,2020-07-27,357,0,19963,2326613.0,2 to 5,,1
30,393,826,540,0,117,130,134,0,72,2019-01-07,2020-07-27,567,0,1759,1036265.0,1001 to 10000,,1
32,4408,6,2046,18,149,2,74,7,69,2019-01-07,2020-07-27,567,0,6478,1256632.0,6 to 10,Technology - Software,1
33,542,410,1603,0,82,75,154,0,43,2019-04-08,2020-07-27,476,0,2555,840453.0,26 to 50,MANAGEMENT_CONSULTING,1
34,117110,10233,5840,3185,2459,1078,945,234,73,2019-01-07,2020-07-27,567,0,136368,356092.0,201 to 1000,REAL_ESTATE,1
35,213,0,329,10,38,0,47,3,43,2019-08-19,2020-07-27,343,0,552,16000001.0,6 to 10,,1
36,17139,811,9433,2,233,50,243,1,42,2019-08-19,2020-07-27,343,0,27385,16000001.0,6 to 10,,1
37,36,1,1,0,3,1,1,0,9,2020-05-18,2020-07-27,70,0,38,16000001.0,6 to 10,,1
38,376,41,9,56,55,14,1,21,52,2019-05-27,2020-07-27,427,0,482,16000001.0,11 to 25,MARKETING_AND_ADVERTISING,1
39,231361,23,275,364,704,18,113,70,64,2019-01-07,2020-07-27,567,0,232023,2392953.0,201 to 1000,FINANCIAL_SERVICES,1
40,1564,370,164,118,143,34,23,42,55,2019-04-15,2020-07-27,469,0,2216,691248.0,2 to 5,,1
41,1080,0,585,142,33,0,26,14,15,2020-02-17,2020-07-27,161,0,1807,3423341.0,6 to 10,,1
42,3211,33,0,0,128,10,0,0,73,2019-01-07,2020-07-27,567,0,3244,16000001.0,6 to 10,,1
43,125,85,265,0,11,8,11,0,41,2019-03-11,2020-04-06,392,112,475,3998334.0,6 to 10,,1
44,268,81,503,18,47,18,35,9,20,2020-01-27,2020-07-27,182,0,870,150037.0,26 to 50,ENVIRONMENTAL_SERVICES,1
45,3824,2077,5437,0,108,100,117,0,37,2019-10-07,2020-07-27,294,0,11338,16000001.0,6 to 10,,1
46,2934,916,59,73,115,47,14,10,39,2019-09-23,2020-07-27,308,0,3982,16000001.0,201 to 1000,Software,1
47,0,12,7,0,0,2,2,0,17,2019-03-11,2020-06-22,469,35,19,7439329.0,6 to 10,,1
48,8,0,0,0,2,0,0,0,7,2020-05-04,2020-07-20,77,7,8,16000001.0,11 to 25,,1
49,725,309,1162,0,58,30,53,0,14,2020-03-23,2020-07-27,126,0,2196,16000001.0,11 to 25,,1
50,31809,273,27094,362,410,68,367,44,60,2019-02-11,2020-07-20,525,7,59538,479245.0,2 to 5,,1
51,3215,10200,2138,3,247,346,233,3,34,2019-10-07,2020-07-27,294,0,15556,2574894.0,11 to 25,,1
52,28736,11919,5699,257,505,330,354,57,66,2019-01-14,2020-07-27,560,0,46611,1119477.0,6 to 10,,1
53,1419,172,394,76,86,41,65,8,56,2019-01-07,2020-07-27,567,0,2061,16000001.0,6 to 10,,1
54,1066,733,3175,0,139,116,413,0,65,2019-01-07,2020-07-27,567,0,4974,16000001.0,26 to 50,,1
55,3946,331,11603,636,407,129,582,121,69,2019-01-14,2020-07-27,560,0,16516,16000001.0,2 to 5,,1
56,1247,1344,2173,128,185,134,158,39,67,2019-01-07,2020-07-27,567,0,4892,4576231.0,11 to 25,,1
57,2862,950,75,0,62,40,17,0,11,2020-04-27,2020-07-27,91,0,3887,762343.0,26 to 50,,1
58,13601,1667,12382,66,438,173,501,20,50,2019-06-10,2020-07-27,413,0,27716,2460378.0,6 to 10,,1
59,29,17,95,0,8,4,9,0,7,2020-06-01,2020-07-27,56,0,141,991346.0,26 to 50,INFORMATION_TECHNOLOGY_AND_SERVICES,1
60,5513,356,628,106,148,46,40,19,25,2020-01-27,2020-07-27,182,0,6603,1914733.0,26 to 50,,1
61,5746,168,4335,367,232,61,195,34,67,2019-01-07,2020-07-27,567,0,10616,16000001.0,2 to 5,,1
62,193,47,183,0,25,14,24,0,14,2020-03-30,2020-07-27,119,0,423,788355.0,201 to 1000,Technology - Software,1
63,38,257,208,13,9,10,14,1,6,2020-06-15,2020-07-20,35,7,516,3119979.0,11 to 25,COMPUTER_SOFTWARE,1
64,4763,1243,988,119,123,62,70,23,67,2019-01-07,2020-07-27,567,0,7113,987139.0,2 to 5,COMPUTER_SOFTWARE,1
65,12955,21,75796,502,1262,10,2492,87,66,2019-01-07,2020-07-27,567,0,89274,16000001.0,201 to 1000,NON_PROFIT_ORGANIZATION_MANAGEMENT,1
66,98,0,160,0,19,0,17,0,24,2019-11-04,2020-05-25,203,63,258,48932.0,201 to 1000,EDUCATION_MANAGEMENT,1
67,10020,928,5554,38,243,161,285,16,63,2019-01-21,2020-07-27,553,0,16540,2432901.0,26 to 50,Technology - Software,1
68,52216,9237,10610,498,788,471,709,103,73,2019-01-07,2020-07-27,567,0,72561,1343588.0,51 to 200,,1
69,27714,5560,4691,291,664,442,497,61,67,2019-03-11,2020-07-27,504,0,38256,1482175.0,26 to 50,,1
70,271,530,554,1,45,55,52,1,51,2019-04-22,2020-07-27,462,0,1356,998871.0,2 to 5,,1
71,8802,5556,2128,30,143,139,134,14,39,2019-05-06,2020-07-27,448,0,16516,1128365.0,26 to 50,MARKETING_AND_ADVERTISING,1
72,1543,16,4,147,202,9,2,28,60,2019-04-01,2020-07-27,483,0,1710,16000001.0,201 to 1000,,1
73,6829,1594,3670,205,377,305,419,43,57,2019-03-25,2020-07-27,490,0,12298,1978893.0,26 to 50,COMPUTER_SOFTWARE,1
74,4845,0,2905,291,156,0,95,16,14,2020-03-30,2020-07-27,119,0,8041,175324.0,201 to 1000,HIGHER_EDUCATION,1
75,14265,2241,6822,4,167,80,104,2,64,2019-02-18,2020-07-27,525,0,23332,16000001.0,2 to 5,Business Consulting,1
76,2467,544,627,4,50,23,16,4,46,2019-07-29,2020-07-27,364,0,3642,3644312.0,51 to 200,COMPUTER_SOFTWARE,1
77,224,478,52,0,30,17,7,0,25,2019-06-17,2020-02-03,231,175,754,16000001.0,2 to 5,,1
78,864,493,0,0,81,63,0,0,46,2019-05-13,2020-07-27,441,0,1357,16000001.0,6 to 10,,1
79,12561,3944,1367,122,227,196,189,17,60,2019-01-28,2020-07-27,546,0,17994,3822357.0,26 to 50,Consulting/Advisory,1
80,3980,1625,233,7,53,29,13,3,39,2019-03-11,2020-01-20,315,189,5845,16000001.0,6 to 10,FINANCIAL_SERVICES,1
81,226,5,39,68,50,3,12,26,45,2019-08-12,2020-07-20,343,7,338,681880.0,6 to 10,,1
82,96266,2,11537,76,833,2,418,42,52,2019-05-20,2020-07-27,434,0,107881,598275.0,11 to 25,,1
83,230,6,547,0,22,3,22,0,8,2020-05-04,2020-07-27,84,0,783,16000001.0,6 to 10,,1
84,7,0,0,0,3,0,0,0,4,2020-07-06,2020-07-27,21,0,7,3206801.0,26 to 50,COMPUTER_SOFTWARE,1
85,57225,57077,14505,1515,2434,3167,1813,281,70,2019-01-07,2020-07-27,567,0,130322,917585.0,201 to 1000,,1
86,171,29,137,2,34,13,9,1,27,2019-12-09,2020-07-27,231,0,339,3140042.0,26 to 50,,1
